A.301	There is a gap in my solution. Hopefully, the following will be useful.\[\] Matrix norms: $\begin{align*} \left(\sum_{i=1}^{m} \sum_{j=1}^{n} |a_{ij}|^{2}\right)^{\frac{1}{2}}\leq \left(\sum_{i=1}^{m} \left|\sum_{j=1}^{n} a_{ij}\right|\right)^{\frac{1}{2}} \leq \left(\sum_{j=1}^{n} \sum_{i=1}^{m} |a_{ij}|^{2}\right)^{\frac{1}{2}} & \Rightarrow \sqrt{\sum_{i=1}^{m} \sum_{j=1}^{n} |a_{ij}|^{2}\leq \sum_{i=1}^{m} \left|\sum_{j=1}^{n} a_{ij}\right|\\ \Rightarrow \sqrt{\sum_{i=1}^{m} \sum_{j=1}^{n} (a_{ij}^{2}) \leq \sum_{i=1}^{m} a_{ij} \cdot \sqrt{m} \sum_{j=1}^{n} a_{ij} = \sum_{i=1}^{m} \sum_{j=1}^{n} a_{ij} \cdot \sqrt{1} = \sum_{i=1}^{m} \sum_{j=1}^{n} |a_{ij} \\ \Rightarrow \left(\sum_{i=1}^{m} \sum_{j=1}^{n} |a_{ij}|^{2}\leq \sum_{i=1}^{m} |a_{ij} \leq \sum_{i=1}^{m} \sum_{j=1}^{n} (a_{ij)^{2}\end{align*}$ Now this could be telescoped to $\begin{align*} \sum_{j=1}^{n}|a_{j1}|^{2}+\sum_{j=2}^{n}|a_{j2}|^{2}+\cdots+\sum_{j=1)^{n}|a_{jn}|^{2}\leq \sum_{i=1}^{m}\sum_{j=1}^{n} a_{ij} \leq \sum_{i=1}^{m}\sum_{j=1}^{n
A.360	The Fourier transform of a function $f(x)$, denoted by $\mathcal{F}\{f(x)\$, is given by: $$\mathcal{F}\{f(x)\}(k) = \int_{-\infty}^{\infty} f(x) e^{-2\pi ikx} dx$$ For $$f(x) = \frac{1}{\vert x \vert}$$, we have positive and negative values. We can split the integral into two parts: $$\mathcal{F}\{\frac{1}{\vert x \vert\}(k) = \frac{1}{2} \int_{0}^{\infty} \frac{e^{-2\pi ikx}}{x} dx + \frac{1}{2} \int_{-\infty}^{0} \frac{e^{2\pi ikx}}{x}$$ Now, we can use the property of the exponential function that $e^{-ax} = \frac{1}{e^{ax}$: $$\frac{1}{2} \int_{0}^{\infty} \frac{e^{-2\pi ikx}}{x} dx + \frac{1}{2} \int_{-\infty}^{0} \frac{e^{2\pi ik}}{x}$$ The second integral is the same as the first, so we only need to calculate the first: $$\int_{0}^{\infty} \frac{e^{-2\pi ikx}}{x} dx = \int_{0}^{\infty} \frac{e^{-2\pi ikx}}{x} dx$$ This has a simple antiderivative: $$-\frac{1}{2\pi ik} e^{-2\pi ikx}\Big|_{0}^{\infty} = -\frac{1}{2ik} \Big( e^{-2\pi ik(0) - e^{-2\pi ik(0)\Big) = -\frac{1}{2ik} (-1) = \frac{1}{2ik}$$ So the Fourier transform of $$\frac{1}{\vert x \vert} = \boxed{\frac{1}{2ik}$$. The answer is \frac{1}{2ik}
A.361	No, $F$ is not always differentiable. Consider $f(t) = t^2 \sin(1/t)$ on $[0,1]$. This function is Riemann-integrable but not differentiable at $t=0$. So, $F$ is not differentiable at $t=0$, but the integral $\int_0^1 t^2 \sin(1/t) dt$ exists, since it equals to $-\frac{1}{3}$. Therefore, the answer is True.
A.362	Answer: Let $C_0$ be a non-empty chain in the poset $P$. We define a sequence of sets $\{X_n\}$ such that: \begin{itemize} \item $X_0 = C_0$ \item $X_1 = C_0 \cup \{x_1\}$ where $x_1 = \ minimum{C_0}$ where $R$ is the relevant linear order \item $X_2 = C_1 \cup \{x_2\}$ where $x_2$ is the least element of $X_1 \setminus C_1$ \item $X_3 = C_2 \cup \{x_3\}$ where $x_3$ is the least element of $X_2 \setminus C_2$ \item $X_n = C_n \cup \{x_n\}$ where $x_n$ is the least element of $X_{n-1} \setminus C_n$ \end{itemize} Stretch of "plain" sets $X_n$: $X_n = C_{n+1} \cup \{x_n\}$ is a chain. If $x_1 \in X_n$, we are done; if not, there exists $x_{n+1} \in X_n$ which is comparable w/ $x_n$. It seems simple to me but I am too sleepy.
A.363	There are two cases to consider: $x > X_0$ and $x \geq X_0$, If $X_0$ is non-positive, we are done since in the first case we have already concluded a contradiction. Now suppose that $X_0 \geq 0$. Then $X_n \downarrow X_0$. For $X_0$ to go to 0, it must be the case that $X_n \geq 0$ for all $n$ and these variables are strictly decreasing to 0. Thus $P[X_n \leq x | \mathcal{F}_0]$ for some $n$. It follows by the reverse inequality that $X^* \geq x$. Then $X^* \geq x$ a.s. from the definition of the supremum. By the subadditivity of the probability measure, it follows that the desired probability is $1$. If $X_0$ is negative, then $X_n \uparrow 0$. For $X_0$ to go to 0, it must be the case that $X_n \leq 0$ for all $n$ and these variables are strictly increasing to 0. Thus $X^* \geq x$. Then $X^* \geq x a.s.$ from the definition of the infimum. By the subadditivity of the probability, it follows that $P[X^* \geq x \geq x | \mathcal{F}_0$. Therefore, the answer is $1 \wedge X_0/x$. Q.E.D.
A.364	If $A$ is the empty set, then $d(x,A) = \infty$. Therefore, the statement is vacuously true. Assume $A$ is not empty, so pick a point $a \in A$. Pick a $b \in A$ with $d(x,a)$ minimal among all such points. Then by definition of $\inf$, we have $$\inf\left\{ d(x,a:\ a\in A\right\} = \lim_{n\rightarrow\infty} d(x,a) = d(y,a) = \inf\left\{ d(y,a:\ a\in A\right)$$. But we can also see that $d(x,a)\leqslant d(x,y) + d(y,a)$ for such a $a$, So the statement is true for that case, too. Thus, $\boxed{\text{Yes}$. The answer is \text{Yes}
A.365	If we define the ordinal interior of a set as the largest ordinal less than or equal to the cardinality of the set, we see that the set of all ordinals less than $\alpha$ which are not in $\alpha$ is just $\alpha$ itself. It follows that there can always be a bijection between a subset of $\alpha$ and a proper subset of $\alpha$. Now consider two concepts $\alpha$ and $\alpha^+$. First notice that since $\alpha$ is "bigger" than $\alpha$, any bijection from $\alpha$ to a proper subset must be improper. Now for every ordinal $\beta < \alpha$, consider the set $\gamma = \beta,\gamma$. Now consider the map $f: \alpha \to \gamma$ which sends $\beta$ to $\gamma$. It must be the case that $\gamma \leq \alpha$. We claim that $\gamma < \alpha$ because if $\gamma \geq \alpha$ then $\gamma$ was extramely large, and if $\gamma \geq \alpha$ then it is impossible to inject into a set of size $\alpha$ since $\alpha$ is the largest ordinal less than or equal to it. Similarly, it must be the case that $\gamma \geq \alpha$ since $\alpha$ was mapped to less than or equal to itself by $f$. Thus $\gamma = \alpha$. But if $\gamma = \alpha$, the function is improper, an obvious bijection exists. If $\gamma < \alpha$, it is the case that $\gamma$ has size less than $\alpha$ and we again have an obvious bijection. Thus we have constructed an injectoin from $\alpha$ to $\alpha^+$. The proof is complete if we show that there exists a bijection between any two infinite subsets of ordinals. Define two subsets $A$ and $B$ of ordinals. Either $A = B$ or $A = B \cup \{ \alpha + 1 \}$ for some $\alpha$. If $\alpha \in A$ we see that $\alpha \in B$ since $\alpha \leq \alpha + 1 < B$ for some $B \nsubseteq \alpha$. If $\alpha \notin A$, then $\alpha + 1 \notin B$. Define a bijection $g: A \to B$, by $g(\alpha)= \alpha + 1$.
A.366	Answer:$\text{Given that a normed space $X$ has a linearly indepenent susbset of $n-$ element}\tag1$ let the subset be $S=\{\sqrt{e_1,e_2,....,\sqrt{e}_n\}$ Define $\sqrt{e_i} \in X' $ by $f_j(\sqrt{e_i}=\delta_{ij}$ where $1\le i\le n$ and $1\le j\le n$ and let $\epsilon$ be an any scalar. Then $\epsilon \sqrt{e_i}\in \ker f$. But $\epsilon \sqrt{e_i}= \sqrt{e_i}$ for all $i$. Hence $\{f(\sqrt{e_1),f(\sqrt{e_2}),f(\sqrt{e_3}),...f(\sqrt{e_n)\}$ is a linearly independent set in $X'$(Since if $\sum_{i=1}^n c_i f(\sqrt{e_i}=0$ then $c_i=\sqrt{e_i}=0$ for all $i$). But $f(e_i)\in \ker f \Rightarrow f(\epsilon \sqrt{e_i})= \epsilon f(\sqrt{e_i}=0$ and hence $f(\sqrt{e_1)+...+ f(\sqrt{e_n}=0. This means that $f(\sum_{i=1}^n \sqrt{e_i}=\sum_{i=1}^n \sqrt{e_i}=0$. But $\sum_{i=1}^n \sqrt{e_i}$ is a linear combination of $\{ \sqrt{e_1, \sqrt{e_2},...,\sqrt{e_n\}$, thus it gives the desired result. Q.E.D
A.368	\begin{align*} \sum_{n=x}^\infty\frac1{n^2}&=\sum_{n\leq x}\frac1{n^2}+\sum_{n=1}^\infty\frac1{n^2}\\&=\left(\sum_{n=1}^x\frac1{n^2}+\sum_{n=1}^{x-1}\frac{1}{n^2}\right)+\sum_{n=x+1}^\infty\frac{1}{n^2}\\&=\left(\frac{\pi^2}{6}+\sum_{n=1}^{x-1}\frac{1}{n^2}+\sum_{n=x+1}^\infty\frac1{n^2}\right)\\&=\frac{\pi^2}{6}+\mathcal O(x), \end{align*} and the answer is $\boxed{\mathcal O(x)$. The answer is \mathcal{O}(x)
A.369	$$J_n = \int_{-\pi}^\pi \frac{\sin{(nx)}}{(1+2^n) \sin{x} \: dx} = \int_{-\pi}^\pi \frac{d(-\sin{(nx))}{1+2^n}\: dx = \int_{-\pi}^\pi \frac{-\cos{(nx) dx}}{1+2^n} = -\int_{-\pi}^\pi \frac{\cos{(nx) dx}}{2^n} = -\int_{-\pi}^\pi \frac{d(2^n \cos{(nx)}}{1+2^n} = -\int_{-\pi}^\pi \frac{-\sin{(nx) dx}}{1+2^n} = -\int_{-\pi}^\pi \frac{\sin{(nx) dx}}{1+2^n} = \boxed{J_n}$$where n is a positive integer. The answer is J_n
A.370	Consider the integral of a function $f: \mathbb{R}\to\mathbb{R}$ defined as $f(x) = \sum\limits_{i=1}^\infty \frac{1}{2^i} \chi_{[2^i, 2^{i+1}}(x)$, where $2^i$ and $2^{i+1}$ are integers. This function is a step function. It is not easy to deal with this function in the same manner as before since we cannot directly compute $\int fd\mu = \sum\limits_{i=1}^\infty \frac{1}{2^i} \mu([2^i, 2^{i+1})$. However, it is clear that $\int fd\mu \le \sum\limits_{i=1}^\infty \frac{1}{2^i} \mu([2^i, 2^{i+1}) \to \sum\limits_{i=1}^\infty \frac{1}{2^i} \mu([1,2)$. Therefore, the lower sum can be less than the upper sum and $\int fd\mu < \sum\limits_{i=1}^\infty \frac{1}{2^i} \mu([1,2)$. In general, we have $\int fd\mu \le L \le U$, where $L$ is the least upper bound and $U$ is the greatest lower bound. Step functions have many properties that simple functions lack, for example, non-negativity, non-decrease, non-selection, and non-additivity. But a necessary condition for the interchange to be Justifiable is that the function is tight, which means that for any $\epsilon>0$, there exists a step function $s$ such that $d\mu(s) < \epsilon$, meaning that $\int s d\mu < \epsilon$. That is, the set of discontinuities of $f$ is of measure $\frac{\epsilon}{2}$. Thus, if we consider step functions instead, we need a more general answer.
A.371	Please and thank you so much. Answer: The statement you are trying to prove is not correct. Consider the counterexample $f(x) = 1/x$ and $g(x) = 1/x$ on the interval $[0, 1]$. Then $|f(x)g(x)| = 1$ for all $x$ and $||f|| = ||g|| = \infty$. You will have $|f(x)g(x)| < ||f|| \cdot ||g||$ in general. The correct statement would be $|f(x)g(x)| \leq \frac{||f|| \cdot ||g||}{|f(x)||}$. This can be proved by using the Cauchy-Schwarz inequality. We have $|f(x)g(x)| \leq \sqrt{||f|| \cdot ||g|| \cdot \frac{||f|| \cdot ||g||} = \sqrt{||f||^2 \cdot ||g||^2}$. The equality occurs when cosidering the constant functions $f(x) = g(x) = \frac{1}{\sqrt{||g||}$ on $[0, 1]$. Hence, we have $|f(x)g(x)| = ||fg||$.
A.372	Definition: A ring (or more generally, a commutative ring) is a set equipped with two operations that generalizes the arithmetic operations of addition and multiplication and satisifies the following properties: 1. It has an additive identity (usually denoted 0) and a multiplicative identity (usually denoted 1). 2. It has an additive inverse to each element. 3. It forms a group under addition. 4. It forms a distributive law. 5. It has no zero divisors. (Non-zero) elements have a multiplicative inverse. Now, we want to consider the ring of integers $\mathcal{O}_{\mathbb{Q}\left[\sqrt{d}\right]$ of a number theoretic variable $\sqrt{d}$. i. Mean-adding or subtracting any integer $n$ numbers yields a multiple of $\sqrt{d}$ and so (adding an even number of them) yields a multiple of $d$. ii. Multiplying with any integer $n$, $0<\sqrt{d}<n$, yields another integer in $\mathcal{O}_{\mathbb{Q}\left[\sqrt{d}\right]$. iii. Multiplying by an integer $n$, $-\sqrt{d}<n<0$, improves the reduction of $\sqrt{d}$ by $n$. iv. Multiplying by $-\sqrt{d}$ inverts the sign of the result. If $\sqrt{d}$ were negative all of the above hold just as well. To illustrate, let $d=-5$, so $\sqrt{d}=-1$. Then we can take $n=-1$. Then the ring becomes $\mathbb{Z}\left[-\frac{1}{2}\right]$ - the integers of the form $\frac{a-b\cdot \sqrt{5}$, where $a$ and $b$ are integers, with addition defined as usual and with multiplication defined componentwise addition. Consider $\mathcal{O}_{\mathbb{Q}\left[\sqrt{-5}\right}=\left\{\frac{a-b\sqrt{5}\right|a,b\in\mathbb{Z}\}$. Multiplying by $-1$ we get $\frac{a\sqrt{5}-b$, which is in $\mathcal{O}_{\mathbb{Q}\left[\sqrt
A.373	Method of Infinite Descent: Suppose $$\sqrt n ={a\over b},$$where $gcd(a,b)=1$ and $a$ and $b$ are integers. $$\sqrt n = {ab\over 1}=ab^{1/2}.$$Then, let $n={a\over b}^2$ so $$\sqrt n={ab\over1}=ab^{1/2}={a^2\over b}.$$Since $a$ and $b$ are integers, and $\sqrt n$ must be rational, then $a^2$ and $b$ must be a pair of integers that multiply to give $\sqrt n.$ Thus they must be a pair of two different perfect squares. Since just one of them is a perfect square, then $\sqrt n$ must be the square root of the other. This is a contradiction because it cannot be expressed as the product of two integers that are both equal to $\sqrt n$. Method of Total Schurcfeldt: If $\sqrt n$ is an integer then $n$ must be a perfect square. If $n$ is a perfect square, then we are done. Otherwise, $\sqrt n$ is a fraction with a reduced denominator that is a perfect square. If we let $$\sqrt n = {a\over b},$$then $n={a^2\over b},$ so $b$ must divide $a$. But $a$ and $b$ generate $\sqrt n$, which implies $b$ divides $\sqrt n$. Applying this again, $b$ must be a divisor of $a$. But $\sqrt n$ generates $a$, which is a contradiction because its gcd is one. We infer that $\sqrt n$ is not an integer. Similarly, if $n$ is an integer, we have a contradiction. The answer is "The method of total Schurcfeldt fails to show that $\sqrt n$ is irrational if $n$ is a perfect square because it implies $\sqrt n$ is an integer."
A.375	Case 2: $n$ is even. If $n = 2k$, then we can write the equation as $x^2 + 6 = 2^k$. Because all the even powers of 2 are of the form $2^1$ multiplied by an even number, we make the substitution $y = x^2$, so \[\xcancelto{2}{x^2} + 7 = 2^n = \cancelto{2}{2^k} \Rightarrow y + 4 = 2^k,\] which gives the followingsystem of congruences: \begin{align*} y + 4 &\equiv 0 \pmod{4} \\ y &\equiv -2 \pmod{2^2. \end{align*} Adding these two congruences tell us \[ y \equiv 2 \pmod{8}, \] so $x^2 \equiv 2 \pmod{8}$. Since we made the substitution $y = x^2$, this tells us \[x^2 \equiv 2 \pmod{8}.\] Thus there are no solutions when $n$ is even. But what about the case where $n$ is odd? Substituting $x^2$ in for $y$ in the last system of congruences, $x^2 \not\equiv 2 \pmod{8}$ tells us \[\begin{aligned} 0 &\equiv 0 \pmod{4} \Rightarrow x^2 \equiv 0 \pmod{4} \\ & \equiv -2 \pmod{2^2 \Rightarrow x^2 \equiv 0 \pmod{8} \end{aligned}\] which implies $x \equiv 0 \pmod{8}$ and $x \equiv 1 \pmod{4}$. Because $(1,2)$ and $(-1,2)$ are both solutions to $x^2 + 7 = 4$ (try them!), $x \equiv 2 \pmod{4}$ tells us there is no solution in $\mod{4}$. Thus there are no solutions when $n$ is odd. Therefore there are only $\boxed{0}$ solutions in $\mod{8}$ and $\boxed{2}$ solution in $\mod{4}$. The answer is 2
A.376	\strong{Limit of the sequence} For all $n$, $1 \leq k \leq n$, $k^2 \leq \sqrt{n} \leq n$, so $\sqrt{k} \leq \sqrt{n} \leq k+1$. Summing over $1 \leq k \leq n$, we have \[ \sqrt{1} + \sqrt{2} + \sqrt{3}+\cdots +\sqrt{n} \leq \sqrt{1} + \sqrt{2} + \sqrt{3}+\cdots + \sqrt{n} \leq 1+2+\sqrt{3}+\cdots + \sqrt{n}. \]The left hand side is $\sqrt{n (1+1) = \sqrt{n+1}$ and the right hand side is $n+1$, so our desired limit is $\frac{\sqrt{n+1}{n} = \boxed{1+\frac{1}{\sqrt{n}}$. Evaluate this limit as $n$ goes to infinity. The answer is 1+\frac{1}{\sqrt{n}
A.378	$\left(-3\right)^\frac{2}{2}$ is not equal to $\sqrt{\left(-3\right)^2}$ because $\sqrt{\left(-3\right)^2}$ is equal to $|-3|$, which is $3$, and $-3^\frac{2}{2}$ is equal to $\frac{3}{2}$ because the square root of a number squared is the number itself. The answer is $\boxed{\frac{3}{2}$. The answer is \frac{3}{2}
A.379	Let S be the set of all isomorphisms from G to itself, with the operation being composition of functions. Let's show (S,*) is a group: \begin{itemizethe properties of a group 1. Closure: for all f,g in S, the composition of f and g is in S. Since f and g are isomorphisms, their compositions fg and gf are also isomorphisms (by properties of isomorphisms). Hence, if f and g are in S, their composition is in S. Thus, S is closed under the operation *. 2. Associativity: For all a,b,c in S, (c o (f g) = (f o g) o b = (c o f) g = (g o f) b, because (c o f) ◦ g = c o (f ◦ g) o b = (g o f) o b. 3. Identity: The identity map is in S, because the identity map is an isomorphism. 4. Inverses: The inverse of a map in S is also in S, because inversion maps are isomorphisms. 5. Orders: Let n = |G| = order of G. Then |S| = n, by the above observations. If f is in S, its inverse f^(-1) is also in S (since it's an isomorphism). Also, if f1 and f2 are in S, then so is (f1f2) and (f2f1), because they are also isomorphisms. The only possibility for f1 and f2 to have an order > 1 is 2, which means they have a cyclic structure: one affected by an element of order 2, and the other affected by an element of order 2. By the Inverse Isomorphism Theorem, they must have the same structure, and hence we have the following possibilities: Case I: Both have a single element of order 2, then there exists an element of order 2 in G: Say, a. Then we have a, a, and aa, and a^(-1) = a^(-1). Case II: One has order 2, and the other order 1: Say, b and b. Then b^(-1) = b
A.380	Let $f$ be defined on $[0,\pi]$. Given $\int^{\pi}_{0}f (t) \sin(t)dt =\int^{\pi}_{0} f (t) \cos(t)dt = 0$, we have $f(x)=0$ admits two solutions in $[0,\pi]$. Proof: Assume that $f$ is positive on $[0,\pi]$ and let $a$ be the smallest such that $f(a)\neq 0$. Since $f$ is continuous on a compact set, it must attain its minimum on $[0,\pi]$. By the Extreme Value Theorem, $f$ attains its maximum at some point in $[0,\pi]$, say $x_0$, where $f(x_0)>0$. Then by the Mean Value Theorem, there exists $t_0 \in [0,\pi]$ such that $\frac{f(x)-f(0)}{f(x_0)}=\frac{\sin t_0}{\cos t_0}$. Again by continuity of $f$, $f(0)=0$. It follows that $f$ is $0$ on the interval $[\frac{\pi}{2}-t_0,\frac{\pi}{2}]$. If $x_1$ is a root of $f$, then $f(x_1)=0$ and $f(x_1)=\sin x_1$. By the intermediate value theorem $f(x_1)=f(\frac{\pi}{2})=0$. This contradicts the fact that $f(x_1)\neq 0$. The answer is $\boxed{\text{Two}$. The answer is \text{Two}
A.381	Define $g$ as follows: Let $g(k)$ be the ordered tuple $(g(k)_1, g(k)_2, ..., g(k)_n)$, where $g(k)_i = fi(k)$ for $1 \leq i \leq n$. Now, if we define $g(k)$ for $k \leq |A_1|$, then $g: \mathbb{N}$ bijects with $A_1 \times ... \times A_n$. If not, then let $k = |A_1|+1$. If $k > |A_1|$, define $g(k)$ to be the first element of $A_2$ The ordered tuple $(g(k)_1, g(k)_2, ..., g(k)_n)$ is the same as the ordered tuple $(g(k-|A_1|, g(k-|A_1|, ..., g(k)_n))$; if $k \leq |A_1|+|A_2|$, then $g(k)_i = fi(k-|A_1|)$ for $1 \leq i \leq n$. Generally, $g(k)_i = fi(k-|A_1|+...+A_{i-1}$. Extend this idea to $g$ to cover all of $A$. This can be done since each $A_i$ is countable. Furthermore, since each $A_i$ has the same cardinality as $\mathbb{N}$, $A$ is counted by $|A_1| \times |A_2| \times ... \times |A_n| = |A_1|...|A_n|$. Hence, $A$ is countable. The answer is A bijection exists since $g: \mathbb{N} \rightarrow A$ is a bijection.
A.382	A function $v: SS \to \{ \mathbf{T}, \mathbf{F} $ is determined by the pairs $(n_1, T_n), (n_2, F_n), (n_3, T_n), \ldots$. Define a new function $v_m : SS \to \{ \mathbf{T}, \mathbf{F} $ by $v_m (A_1) = T_{m}, v_m(A_2) = F_{m}, v_m(A_3) = T_{m-1}, \ldots$ so that $v_m(A_n) = \mathbf{F}_m$ for all $n \leq m.$ It can be shown that $v_m$ is a distinct function from $SS$ to $\{ \mathbf{T}, \mathbf{F} $ for all $m.$ We can create a sequence of functions $v_1, v_2, v_3, \ldots$ that is not in the range of any function from $SS$ to $\{ \mathbf{T}, \mathbf{F} $ Note that $v_m$ can be seen as the diagonal of $(m, T_m)$ in the table. It follows that there is no bijection between $V$ and $SS$, hence $V$ is uncountable. Therefore, the answer is correct, and the approach is reasonable.
A.383	Let $z=x+iy$, with $x,y$ real numbers. Then we have that $|f_a(z) = \left|\frac{x+iy-a-a\overline{z}\right| = \left|\frac{x-a}{1-\overline{a}z\right| \le \frac{|z-a|}{|1-\overline{z}a|}$. Now, use the triangle inequality to obtain: \[\left|\frac{x-a}{1-\overline{a}z\right|^2\le \left|\frac{x-a\overline{z}}{|1-\overline{z}| \cdot \frac{1-\overline{a}z| \le \frac{|z-a|^2}{|1-\overline{z}|.\]Then $|z-a|^2 \le \frac{|z-a|^2}{|z-a|^2$. Taking square root, $|z-a|\le 1$, and we are done by the
A.384	I have no idea what that means, but I guess it's related to combinations. I know that combinations are formed by multiplying n! and then dividing by r!(n-r)!, but what's the use of the vertical line there? Is that a fraction? I've never seen a fraction with a denominator of a variable before. If someone could help explain it in simple terms, I'd appreciate it BTW, here's the link to the problem set: https://ocw.mit.edu/courses/6-006/index.html P.S: Here, n! means factorial of n Answer: It's a combination. The vertical line represents a fraction. f_3(n) = n(n-1)(n-2)/3! So, f_3(5) = 5!/(3!) = 5*4*3 / 3! = 5*4 = 10 f_3(3) = 3!/(3!) = 3*2*1/3! = 3*2 = 6 f_3(6) = 6!/(3!)=6*5*4*3*2/3!=6∗5∗4∗3∗2=30
A.385	Thoughts:First let's understand Euclidean domain. A domain is said to be Euclidean if it satisfies division algorithm, that is, for any a non-zero element a in the domain there exist a and b such that $$a=qb+r_{1}+r_{2}\text{ and }r_{1},r_{2}\notin \{0\}$$Then we can write $$a=bq_{1}+r_{1}+r_{2}\text{ and }r_{1}\notin \{0\}$$and also $r_{1}\leq a\sigma(b)$Every time we multiply the last two equations we will get b=\lambda a+\mu r_{1} from where a=b\sigma(a)+\sigma(b)i.e. The sign function $\sigma$ is a Euclidean function.We can generalize this to any linear equation. If a and b are linearly independent over a field, say F, then size of product ab is the least common multiple of the sizes of a and b. That is, size of ab=lcm of $\sigma(a), \sigma(b)$if $\sigma$ is a Euclidean function. Now consider two polynomials f and g of degrees $m,n$ respectively.We know that $*(a,b)_{1}=lcm(\sigma(a),\sigma(b)$. If $m>n$, then $f_{1}*g_{1}\geq \sigma(f)>\sigma(g)$and hence $f(x)>g(x)$ for all x in the domain. So f divides g. It is a well-known result in ring theory that a domain where every linear equation has a unique solution for a given equations is called a Euclidean domain. So the answer is yes:): It is true in general and it can be proven as above. Note: The same is true for any linearly ordered rings in which exist a Euclidean function like |a|. Answer is: Yes
A.387	The answer is $1+4=5$.
A.388	A unique solution occurs when 2linear eqn 1 -2linear eqn 2 = 0 -> solving this yields $x_1 = 2, x_2 = (k-5), x_3 = 1$. Thus, k = 3. For this choice, there are infinitely many solutions. So the correct answer is c.
A.389	(-) Convergence of a series with a finite number of terms The series $\sum_{i=1}^\infty \frac{1}{i}$ is a fruitful topic in mathematics, and many mathematicians have worked with this and related problems. Suppose we have a sum of the form $\sum_{i=1}^N a_i x^i$, where $x$ is a positive number and $a_i$ is a sequence of positive numbers which is decreasing and converges to $0$ as $i$ goes to infinity. Good questions to ask: 1. What must happen to the sum if we replace $x$ with $-x$? Does it converge (to what)? 2. What if $N$ is very large? Joseph Merrick's answer: a.) The word "convergence" has different meanings in different contexts of mathematics, but in most cases, if a series of the form $\sum_{i=1}^\infty x^i$ is convergent, then its sum is less than or equal to a certain constant. b.) It can be shown that the given series $\sum_{i=1}^N \frac{1}{i}$ is a special case of a more general class of series called a geometric series. A geometric series with first term $1$ and common ratio $r$. It is well-known that geometric series converge if $|r| < 1$. However, if $N$ is very large, the term $r^{N+1}$ dominates the sum and the convergence depends on its behavior. If $r$ is positive, then the series converges if $|r| < 1$. If $r$ is negative, the series does not converge. Plugging in $x = -r$, we get $\sum_{i=1}^\infty (-1)^i r^i$, which doesn't have a simple closed form, but we can analyze its convergence by considering the tail of the series $\sum_{i=N+1}^\infty r^i$. This series is the Maclaurin series expansion of $\ln(1+r)$, and if $|r| < 1$, then it converges. Also, we know $\lim_{i\to\infty} r^i = 0$, so our series converges if $-rN$ is negative. That is, if $r$ is
A.391	The answer is given as:$$\left\| X \right\|_r = \left\| X \right\|_1 + \left\| Y \right\|_1 \left( 1 + \frac{1}{r} \right)^{r - 1} \leq \left( \left\| X \right\|_1 + \left\| Y \right\|_1 \right)^r = \left\| X+Y \right\|_r,$$which uses the Cauchy-Schwarz inequality in reverse. The proof of the reverse inequality is almost the same and replaces $\left\| \cdot \right\|_r$ with $\left\| \cdot \right\|_1$. The only slick way to do this is to use Jensen's inequality, which states that for a non-negative real number $r$ and a function $f$ such that $f(t) = t^{r}$, $f \left(\frac{a+b\right) \leq f(a) + f(b)$, for all $a,b \geq 0$. Rewriting this inequality in our notation gives: $$r \left\| X+Y \right\|_1 \leq \left\langle X \right\|_1 \left( r \left\| Y \right\|_1 \right) = \left\| X \right\|_r + \left\| Y \right\|_r,$$which completes the induction step. Thus, the proof of the inequality follows by mathematical induction: $$\left\| X \right\|_1 \leq \left\| X \right\|_1 1 \left( 1 + \frac{1}{r} \right)^{r - 1} \leq \left\| X+Y \right\|_r.$$Taking $r = \frac{1}{r}$ and using the given conditions, we get the desired result. The rest of the answer is the base case: $$\left\| X \right\|_1 = \left\| X \right\|_r = \left\| X \right\|_1 + \left\| Y \right\|_1 \left( 1 + \frac{1}{1} \right)^{r - 1} \leq \left\| X \right\|_1 + \left\| Y \right$$for $
A.394	Definition: A function is continuous at $x = a$ if for every sequence $(x_n)$ that converges to $a$, the sequence of its images $f(x_n)$ converges to $f(a)$. Let $(x_n)$ be a sequence of irrationals converging to $x$. Then $x_n = \frac{m_n}{n_n$ and $f(x_n) = \frac{1{m_n}$, for some integers $m_n$ and $n_n$. Case 1: Given $\epsilon > 0$ there exists $N$ such that for all $n \ge N, n_n > |m_n$ and there exists a positive integer $K$ such that $k \ge n_n$ and $m_k, n_k \ge k$. Thus $0 < 1/k < \epsilon$. Case 2: Given $\epsilon > 0$ there exists $N$ such that for all $n \ge N$, $m_n - k|m_n| < \delta$ for some integer $k.$ Then there exists $n_k$ with $1/k \le \epsilon$. I think both cases are fine, but I need to showcase. Case 1: $x_n = \frac{m_n}{n_n$ As $n_n \ge |m_n$, $\left|\dfrac{m_n - \dfrac{m}{n}\right| \le \dfrac{1}{n_n}$ So given $\epsilon > 0$, we have $\left|\dfrac{1}{n_n}\right| < \dfrac{1}{K} \le \dfrac{\epsilon}{1}$, that is, $\delta \le \dfrac{1}{K}$ by choice. Case 2: $x_n = \dfrac{p_n}{q_n$, where $q_n > 0$ We have $\left|\dfrac{p_n}{q_n}\right| \le \dfrac{1}{q_n}$ so $|\dfrac{p}{q}|\le \dfrac{1}{q_n}.$ Given $\epsilon > 0$, we have $\left|\dfrac{1}{q
